name,location,code
Mount Hagen Kagamuga Airport,680fbfe80055693b54898d14,HGF
Nadzab Airport,680fbfe80055693b54898d21,LAE
Port Moresby Jacksons International Airport,680fbfe80055693b54898d27,POM
Wewak International Airport,680fbfe80055693b54898d2d,WWK
Sault Ste Marie Airport,680fbfe80055693b54898d35,YAM
Winnipeg / St. Andrews Airport,680fbfe80055693b54898d3b,W/S
Halifax / CFB Shearwater Heliport,680fbfe80055693b54898d41,H/C
St. Anthony Airport,680fbfe80055693b54898d47,YAY
Tofino / Long Beach Airport,680fbfe80055693b54898d4d,YAZ
Kugaaruk Airport,680fbfe80055693b54898d53,YBB
Baie Comeau Airport,680fbfe80055693b54898d59,YBC
CFB Bagotville,680fbfe80055693b54898d5f,YBG
Baker Lake Airport,680fbfe80055693b54898d65,YBK
Campbell River Airport,680fbfe80055693b54898d6b,YBL
Brandon Municipal Airport,680fbfe80055693b54898d71,YBR
Cambridge Bay Airport,680fbfe80055693b54898d77,YCB
Castlegar/West Kootenay Regional Airport,680fbfe80055693b54898d83,YCG
Miramichi Airport,680fbfe80055693b54898d89,YCH
Charlo Airport,680fbfe80055693b54898d8f,YCL
Kugluktuk Airport,680fbfe80055693b54898d95,YCO
Coronation Airport,680fbfe80055693b54898d9b,YCT
Chilliwack Airport,680fbfe80055693b54898da1,YCW
Clyde River Airport,680fbfe80055693b54898da7,YCY
Coral Harbour Airport,680fbfe80055693b54898dad,YZS
Dawson City Airport,680fbfe80055693b54898db3,YDA
Burwash Airport,680fbfe80055693b54898db9,YDB
Deer Lake Airport,680fbfe80055693b54898dc5,YDF
Dease Lake Airport,680fbfe80055693b54898dcb,YDL
Dauphin Barker Airport,680fbfe80055693b54898dd1,YDN
Dawson Creek Airport,680fbfe80055693b54898dd7,YDQ
Edmonton International Airport,680fbfe80055693b54898ddd,YEG
Arviat Airport,680fbfe80055693b54898de3,YEK
Estevan Airport,680fbfe80055693b54898de9,YEN
Edson Airport,680fbfe80055693b54898def,YET
Inuvik Mike Zubko Airport,680fbfe80055693b54898dfb,YEV
Iqaluit Airport,680fbfe80055693b54898e01,YFB
Fredericton Airport,680fbfe80055693b54898e07,YFC
Forestville Airport,680fbfe80055693b54898e0d,YFE
Flin Flon Airport,680fbfe80055693b54898e13,YFO
Fort Resolution Airport,680fbfe80055693b54898e1a,YFR
Fort Simpson Airport,680fbfe80055693b54898e20,YFS
La Grande Rivière Airport,680fbfe80055693b54898e2c,YGL
Gaspé (Michel-Pouliot) Airport,680fbfe80055693b54898e32,YGP
Geraldton Greenstone Regional Airport,680fbfe80055693b54898e38,YGQ
Îles-de-la-Madeleine Airport,680fbfe80055693b54898e3e,YGR
Hudson Bay Airport,680fbfe80055693b54898e44,YHB
Dryden Regional Airport,680fbfe80055693b54898e4a,YHD
Ulukhaktok Holman Airport,680fbfe80055693b54898e50,YHI
Halifax / Stanfield International Airport,680fbfe80055693b54898d41,YHZ
Winnipeg / James Armstrong Richardson International Airport,680fbfe80055693b54898d3b,YWG
Edmonton City Centre (Blatchford Field) Airport,680fbfe80055693b54898ddd,YXD
Deer Lake Airport,680fbfe80055693b54898dc5,YVZ
Geraldton Airport,680fbfe80055693b54898e38,GET
Nanaimo Harbour Water Airport,680fbfe80055693b54898d7d,ZNA
